3.494603175	1.1
4.700000000	1.2
5.292698413	1.3
5.932698413	1.4
6.580000000	2.1
7.476825397	2.2
8.055464853	2.3
8.630997732	2.4
9.306666667	3.1
10.193333333	3.2
10.737777778	3.3
11.286349206	3.4
11.886666667	4.1
12.739047619	4.2
13.273333333	4.3
13.947936508	4.4
14.666666667	5.1
15.593650794	5.2
16.121927438	5.3
16.638412698	5.4
17.269841270	6.1
18.112086168	6.2
18.627414966	6.3
19.196621315	6.4
19.840000000	7.1
20.728616780	7.2
21.298684807	7.3
21.794625850	7.4
22.469138322	8.1
23.317233560	8.2
23.802675737	8.3
24.452063492	8.4
25.177619048	9.1
25.912403628	9.2
26.461541950	9.3
27.013242630	9.4
27.824761905	10.1
28.580090703	10.2
29.098798186	10.3
29.632517007	10.4
30.403605442	11.1
31.197460317	11.2
31.660362812	11.3
32.253968254	11.4
32.952585034	12.1
33.556213152	12.2
34.040385488	12.3
34.606802721	12.4
35.403628118	13.1
36.154920635	13.2
36.671972789	13.3
37.268934240	13.4
37.866666667	14.1
38.613333333	14.2
39.113786848	14.3
39.751111111	14.4
40.439002268	15.1
41.440000000	15.2
41.986666667	15.3
42.546666667	15.4
43.113333333	16.1
43.784126984	16.2
44.328321995	16.3
44.819727891	16.4
45.493786848	17.1
46.142403628	17.2
46.737414966	17.3
47.288412698	17.4
47.953809524	18.1
48.638548753	18.2
49.182766440	18.3
49.777777778	18.4
50.486371882	19.1
51.337868481	19.2
51.853333333	19.3
52.393401361	19.4
52.973333333	20.1
53.703401361	20.2
54.220000000	20.3
54.780000000	20.4
55.433469388	21.1
56.158752834	21.2
56.707482993	21.3
57.272743764	21.4
57.867845805	22.1
58.590816327	22.2
59.152834467	22.3
59.656417234	22.4
60.324421769	23.1
61.045419501	23.2
61.532176871	23.3
62.107845805	23.4
62.716258503	24.1
63.325623583	24.2
63.827120181	24.3
64.402947846	24.4
65.093333333	25.1
66.011405896	25.2
66.513333333	25.3
67.086439909	25.4
67.637823129	26.1
68.323129252	26.2
68.831746032	26.3
69.499637188	26.4
70.275850340	27.1
71.190929705	27.2
71.726009070	27.3
72.308390023	27.4
72.896145125	28.1
73.692199546	28.2
74.267573696	28.3
74.774512472	28.4
